x,y,z
6,4,4172
5,7,4177
2,5,4183
2,6,4186
0,0,4176
3,6,4172
-1,3,4175
-3,0,4177
0,1,4173
0,-1,4171
-4,0,4176
-3,0,4172
-1,0,4168
5,1,4176
0,0,4177
-2,-4,4168
2,2,4171
-1,-3,4176
-1,0,4179
4,-1,4177
6,1,4174
2,3,4172
-2,6,4171
-1,3,4165
0,8,4161
-1,8,4164
-1,-2,4154
2,0,4159
3,-2,4161
1,-2,4167
-3,-7,4173
-4,-3,4174
0,-1,4178
0,-2,4180
0,-3,4184
-4,0,4183
-4,0,4175
1,-1,4171
1,0,4167
0,2,4168
1,3,4173
-2,2,4172
-4,-2,4174
-8,-7,4177
-6,-6,4176
0,-3,4179
0,0,4182
-2,0,4186
5,3,4186
5,2,4184
1,-2,4184
-1,-6,4179
1,0,4172
2,1,4174
7,0,4178
6,0,4170
4,-1,4178
0,-2,4177
-2,1,4180
-6,-1,4174
-5,-1,4170
-3,-2,4167
1,0,4171
2,-2,4171
-1,-4,4170
-2,2,4170
-4,2,4172
-1,5,4174
3,4,4173
2,3,4175
-5,-2,4175
0,-4,4178
0,-2,4181
2,-2,4177
1,0,4178
-2,0,4175
-1,0,4168
2,1,4175
5,2,4172
0,1,4172
-2,3,4176
0,-4,4169
2,0,4171
0,-1,4173
0,2,4172
-4,6,4174
-9,6,4174
-4,4,4170
-3,0,4170
3,2,4171
6,2,4167
0,0,4163
0,-2,4170
1,-3,4173
-2,1,4176
-1,0,4181
-1,0,4179
5,0,4175
4,0,4179
5,0,4179
4,0,4186
7,1,4183
1,7,4171
1,4,4174
1,2,4177
0,0,4176
-6,-1,4176
-7,0,4174
-7,0,4175
-7,0,4170
-7,-2,4171
-4,0,4180
-2,1,4176
0,1,4171
-3,0,4167
0,-1,4170
-3,-3,4170
-5,-1,4172
-2,-2,4169
-1,0,4180
2,-1,4182
0,0,4175
1,0,4174
6,1,4172
4,1,4178
3,0,4177
1,3,4175
-2,0,4173
-2,3,4172
1,1,4176
4,1,4171
0,0,4171
1,-5,4175
0,-3,4173
0,-4,4173
1,-5,4174
0,-4,4177
-2,2,4176
0,0,4181
-6,1,4182
-5,1,4182
-1,1,4178
1,5,4174
2,1,4174
2,3,4175
0,-2,4178
0,-6,4170
3,-2,4175
1,-4,4168
-6,-2,4171
0,1,4167
-2,2,4167
0,0,4169
0,-1,4175
-1,-3,4172
0,-1,4170
3,-2,4172
0,-4,4175
0,-4,4180
-2,-1,4175
-4,4,4179
1,0,4182
3,-3,4181
6,-9,4178
2,-6,4178
0,-6,4179
2,-1,4178
0,-3,4182
0,0,4176
4,-1,4176
-2,-2,4181
-2,-3,4182
-1,-4,4176
2,0,4180
-2,2,4176
-1,3,4179
3,3,4180
0,4,4185
-2,2,4177
2,-1,4178
4,-1,4171
5,0,4169
3,0,4169
1,0,4165
-3,2,4173
-3,2,4177
-8,2,4169
-3,1,4174
-2,-3,4174
0,-2,4180
-3,-2,4183
-2,1,4179
-3,3,4174
-1,0,4172
-4,0,4180
-1,-2,4183
5,-3,4174
4,-1,4174
2,-1,4165
0,0,4161
3,0,4157
2,0,4160
1,-2,4157
0,-1,4154
0,-3,4165
4,-6,4165
3,-9,4159
5,-7,4160
4,0,4163
2,-1,4165
-3,-3,4171
-5,-6,4181
-2,-4,4178
2,1,4173
3,0,4176
0,5,4170
-1,0,4167
