x,y,z
-4429,3820,5375
-4074,3638,4856
-3776,3507,4573
-3347,3344,4392
-2826,3198,4282
-2328,3077,4248
-1896,2956,4137
-1542,2807,3748
-1199,2595,3229
-1098,2425,3300
-1033,2278,3773
-838,2113,3882
-699,1860,3505
-565,1522,3058
123,1296,3043
548,1321,3950
724,1308,5067
813,1044,5300
991,607,4672
999,224,3792
836,71,3444
603,182,3879
481,334,4415
440,253,4350
409,-3,3691
186,-215,2942
-145,-353,2422
-26,-446,2502
242,-185,3495
486,27,4406
538,-121,4501
443,-444,4023
193,-641,3571
-203,-632,3711
-643,-499,4123
-455,-696,4114
298,-954,4223
985,-1012,4726
1296,-1085,5309
1461,-1100,5733
1543,-1206,5802
1342,-1338,5546
1043,-1420,5218
783,-1401,5016
673,-1313,4943
626,-1166,4942
517,-1097,4743
259,-1056,4371
15,-1028,4053
-204,-871,3995
-361,-679,4036
-442,-472,4115
-547,-267,4219
-788,-14,4373
-849,304,4396
-681,643,4297
-498,1016,4105
-357,1321,3690
-213,1662,3446
-218,2198,3609
-277,2701,3818
-277,3028,3768
-354,3187,3508
-642,3410,3361
-926,3813,3396
-1191,4112,3248
-1608,4268,2961
-2012,4494,2933
-2173,4836,3226
-2106,5282,3847
-2182,5553,4372
-2540,5475,4610
-3020,5276,4622
-3367,4953,4363
-3497,4648,4078
-3131,4511,4223
-2687,4372,4555
-2047,4131,4617
-1383,3895,4433
-1085,3596,4114
-1151,3209,3797
-1249,2803,3638
-1299,2452,3609
-1103,2160,3738
-758,1933,4000
-310,1743,4492
-195,1568,4838
-363,1258,4712
-538,931,4373
-618,696,3975
-848,634,3906
-1363,587,3758
-1273,267,3425
-573,258,3512
22,464,3707
179,554,3563
-192,516,3365
24,323,3425
376,380,3735
244,352,3694
-232,242,3255
-834,181,2813
-848,46,2748
-55,9,3369
1003,48,4223
1604,83,4741
1533,-11,4695
1164,-163,4293
826,-506,3887
625,-695,4177
388,-301,5509
688,-806,5697
1240,-935,5592
1600,-751,5808
1632,-690,5808
1270,-718,5519
780,-774,5055
340,-942,4416
180,-1037,4053
142,-978,4218
93,-712,4854
69,-526,5277
-90,-698,5021
-226,-968,4515
-302,-993,4158
-178,-1003,3931
0,-874,4072
34,-606,4325
-136,-480,4149
-397,-436,3655
-354,-239,3255
11,135,3115
23,493,2933
-213,696,2612
-119,983,2476
83,1459,2701
154,2017,3040
28,2533,3308
-273,2933,3391
-638,3165,3657
-949,3103,3317
-1002,3526,3725
-996,4049,3882
-1047,4563,4057
-1141,4958,4387
-1427,5282,4902
-1875,5415,5170
-2379,5341,5087
-2670,5265,4915
-2640,5238,4980
-2618,5191,5133
-2882,4893,5100
-3162,4485,4717
-3103,4109,4189
-2782,3755,3734
-2222,3495,3755
-1612,3364,4209
-1272,3142,4324
-1169,2750,3841
-1108,2464,3186
-1104,2147,2730
-1140,1737,2912
-989,1519,3786
-585,1379,4537
-182,1192,4567
-102,990,4085
-360,677,3365
-386,360,3306
-106,486,3772
241,607,4055
445,667,3912
436,733,3617
750,564,3407
1470,606,3858
1973,695,4498
1959,763,4801
1613,668,4459
1055,558,3842
254,585,3553
-593,510,3295
-893,138,2900
-560,-286,2773
226,-535,3245
867,-456,4083
1028,-405,4707
680,-596,4795
235,-839,4655
115,-1059,4648
384,-1101,5117
638,-1047,5656
674,-1092,5864
501,-1104,5893
305,-1205,5590
202,-1290,5166
52,-1352,4749
-272,-1407,4474
-542,-1290,4616
-609,-1083,4947
-636,-1025,4963
-567,-1076,4732
-408,-1074,4398
-206,-982,4195
-387,-844,4028
-549,-644,3885
-396,-368,3828
-18,-87,3804
467,224,3718
731,471,3468
657,780,3411
521,1207,3552
589,1599,3648
861,1969,3697
1071,2342,3647
1284,2678,3529
1247,3032,3456
1040,3483,3481
614,3960,3409
42,4306,3202
-421,4519,3051
-819,4820,3022
-1229,5086,3113
-1677,5275,3311
-2225,5382,3663
-2761,5573,4272
-3031,5695,4653
-2998,5543,4479
-2925,5337,4080
-2990,5128,3819
-3046,4895,3885
-2620,4714,4222
-1899,4533,4608
-1403,4245,4688
-1234,3861,4372
-1225,3444,3915
-940,3085,3868
-619,2906,4292
-489,2721,4764
-505,2411,4749
-475,2051,4410
-216,1630,4075
77,1373,4101
154,1232,4317
-92,1113,4369
-204,873,4102
-256,626,3565
-359,409,2760
-393,220,2137
159,238,2703
942,456,3906
1260,433,4561
756,-15,3984
184,-448,2986
214,-587,2676
911,-464,3558
1533,-197,4886
1648,-214,5561
1224,-557,5225
672,-944,4530
370,-1185,4257
546,-1271,4712
1054,-1243,5446
1358,-1396,5731
1288,-1650,5601
948,-1791,5496
458,-1792,5461
15,-1857,5214
-232,-1911,4853
-163,-1960,4601
-109,-1871,4595
-218,-1690,4747
-439,-1454,4744
-636,-1355,4413
-865,-1211,4126
-992,-1049,3935
-954,-804,3896
-788,-548,3831
-867,-240,3819
-1050,143,3852
-934,401,3716
-382,668,3585
245,1037,3818
696,1427,4228
944,1758,4534
1053,2067,4544
1325,2290,4078
1897,2530,3542
2340,3010,3262
2401,3411,3012
2015,3753,2902
1389,4034,2992
849,4273,3062
190,4426,3039
-685,4676,3231
-1565,4851,3387
-2151,4995,3468
-2357,5286,3878
-2461,5596,4453
-2711,5634,4663
-3134,5442,4459
-3670,5153,4121
-3923,4921,4170
-3503,4755,4634
-2828,4515,4904
-2194,4199,4784
-1543,3847,4552
-989,3557,4438
-661,3329,4542
-743,2976,4370
-956,2602,3911
-759,2227,3642
-259,2010,3793
97,1807,3993
-27,1584,3889
-276,1328,3616
-82,1000,3772
241,870,4391
485,676,4554
628,423,4046
485,254,3230
85,165,2479
45,68,2594
210,193,3756
502,260,4825
745,-71,4777
670,-491,3915
468,-837,3053
336,-975,3027
