x,y,z,label
144,882,710,1
-143,710,97,1
-394,437,-375,1
-587,84,-765,1
-737,-246,-1104,1
-860,-420,-1382,1
-964,-412,-1519,1
-1050,-255,-1533,1
-1123,-25,-1475,1
-1156,221,-1337,1
-1174,380,-1079,1
-1153,477,-699,1
-1089,542,-318,1
-941,687,9,1
-754,943,560,1
-602,1050,1407,1
-470,741,2372,1
-205,-91,3240,1
147,-1087,4053,1
367,-1779,4446,1
500,-2096,5046,1
569,-2077,6025,1
729,-1697,6839,1
877,-1613,7337,1
1269,-1538,7654,1
1577,-1303,7862,1
1523,-730,8036,1
1084,-37,8191,1
579,502,8282,1
245,844,8306,1
139,697,8283,1
288,499,8261,1
513,401,8215,1
681,329,7890,1
726,580,7168,1
606,979,6261,1
504,1403,5500,1
417,1884,4961,1
269,2196,4177,1
82,2275,2958,1
-182,2083,1575,1
-495,1727,304,1
-818,1376,-700,1
-1096,1132,-1390,1
-1268,898,-1767,1
-1314,634,-1871,1
-1284,301,-1955,1
-1188,-72,-2147,1
-1049,-369,-2324,1
-905,-482,-2376,1
-764,-422,-2367,1
-619,-300,-2206,1
-431,-189,-1876,1
-220,-152,-1497,1
-8,-140,-1148,1
197,-147,-665,1
373,-195,20,1
539,-313,981,1
576,-369,1884,1
663,-631,3831,1
890,-817,5416,1
994,-941,6417,1
1070,-1104,7045,1
1146,-1149,7451,1
1126,-1123,7723,1
913,-797,7950,1
447,-255,8154,1
-92,246,8296,1
-467,185,8317,1
-453,-239,8261,1
-190,-452,8220,1
-18,-276,8227,1
51,275,8258,1
72,1035,8267,1
109,1636,8205,1
243,1981,7915,1
481,2175,7281,1
697,2259,6036,1
723,2109,4264,1
529,1755,2295,1
149,1367,492,1
-320,1085,-1020,1
-805,869,-2278,1
-1224,687,-3324,1
-1467,531,-4054,1
-1476,323,-4286,1
-1257,26,-4033,1
-949,-290,-3590,1
-678,-571,-3241,1
-457,-688,-3132,1
-269,-693,-3019,1
-46,-528,-2733,1
182,-227,-2133,1
453,4,-1243,1
711,65,-415,1
931,-78,166,1
1088,-259,576,1
1108,-306,929,1
860,-449,1644,1
621,-363,2866,1
632,-795,4693,1
663,-779,6000,1
645,-732,6852,1
529,-598,7436,1
517,-624,7809,1
558,-556,8051,1
255,-716,8175,1
-68,-1021,8199,1
-413,-1264,8163,1
-734,-1702,8083,1
-546,-1900,8053,1
-346,-1077,8158,1
-236,-381,8226,1
-104,197,8138,1
94,872,7595,1
208,1519,6923,1
334,2151,6531,1
551,2813,5971,1
683,3227,4736,1
644,3291,3092,1
436,3010,1378,1
188,2538,-92,1
-76,1973,-1337,1
-336,1421,-2399,1
-567,838,-3332,1
-734,340,-3987,1
-800,-41,-4236,1
-708,-361,-4101,1
-532,-649,-3765,1
-308,-951,-3499,1
-32,-1290,-3461,1
238,-1477,-3354,1
490,-1348,-3053,1
714,-1019,-2461,1
938,-610,-1536,1
1084,-234,-514,1
1120,24,526,1
1025,124,1562,1
831,317,2192,1
606,-174,3862,1
484,-404,5497,1
245,-463,6562,1
1,-666,7234,1
-169,-787,7666,1
-300,-928,7935,1
-296,-1186,8076,1
-249,-1324,8155,1
